,id,comment_text,identity_hate
61489,a490a89efba3c2b2, first point it was not only treated as mental ilnes but as criminal activity second point you should only refer to homosexual romance in the lead if there is a section that deals with homosexual romance in the body of the text as the lead is a sumary of what is in the body and having ten sources does not count for much unles the terms are unpacked somewhere in the main text al these sem to show is that people like gidens who is a notable sociologist but no authority on sexuality sexology lgbt studies in general or homosexuality in particular use the term if there were a link to an article homosexual romance which shows the term can be taken for granted fine otherwise it neds to be dealt with in the article before it can be inserted into the lead third point my earlier coment about this was made with ironic and humorous intent because i have only come acros the term romance used in this context at conferences ironicaly or criticaly just because a term is used in sources does not mean that it can be used in the lead when it is not in the text for example homosexuals deserve to be executed or tortured ,1
24769,4183802ca020914d,other diseases and misfortunes who must wait as a por servant with money and property and everything i have i wish they were in hel with the other jews and whomsoever they would like to have with them ,1
158835,f494f50b232f73c7,you re a twat and a jew have a nice day ,1
134582,cfbf03448fce2608,did you se what someone wrote frank lampard a fat bastard how can they do that i hate some players to but i stil respect them ,1
17492,2e34dcd040fe16c4,is iridescant is a fagot,1
24750,417233eb9075dfbc,fuck you fuck al the fagot ased cock suckin drug adicted shit snifin retarded megalomaniacs who cal themselves admins the couldn t get fucked up the arse if they bent over in a gay bar with stufed in their crack they are just a bunch of lame as losers with no life and even fewer friends if real life came up and bit them on the as they would die or just od ,1
158007,e7427b4b370402f7,gay charver that no one likes,1
130825,bbf7e1814ebf0f1a,hey hey fagot are you dead yet or are you watching mom geting raped by filthy pigs which one is it ,1
108935,467819c822308389,i discriminate against english people and blacks but,1
7103,12ede95b6a12397c,you people are prety overzealous with this whole fre thing get a fucking life you fucking nigers ,1
85769,e56efae2d376b646,sarah palin is a fucking bitch this stupid nazi woman is a fucking bitch i hope they kil her racist conservative nazi stupid ugly bitch with glases and the americans love her because shes a fuckign ku klux klan die sarah stupid racist ,1
89519,ef6cf6ade470ce49,you suck it as you re used to suck phalus nazi hinduist like hitler ,1
108392,43768bd5cbec3d66,give me a break give me a break admin i was just trying to talk to the dude why did you delete my mesage from his talk page why don t you leave it up to him to decide what s to be deleted from his mesages or not i just asked him why he deletes things so spedily using a very gay sounding software caled hugle what s the mater with you wikipedia lovers are you robots or something is that al you do al day wikipedia sems to have taken control of your lives i bet this post wil be reverted using hugle or twinkle or something like that or you l isue me a stern warning not to make unconstructive edits to the pive pilars of wikipedia or you l just block me listen stop being a robot become a human for a change get out of that chair and think about it a litle ,1
144459,0d208bc373192e80,mo go ahead and delete my acount if you want but bwilkins is a f ing nazi and i have beter things to do than waste any more time on a site that alows s like him her to be d s ,1
19031,323f4ac379169c96,yo niga why you reverting my edits just use some comon sense ,1
84995,e376d70b8e46ce55,nigas in da hod badman bo selecta wof ,1
36098,6076841917b2e7ea,this shit is fucking gay you ned to get the right information dumb fucks,1
120807,8654d07c6f5473c6,racist ignorant and fascist al in al disgusting boy,1
31191,52d3e25990b1d24a,white racist white girl what makes you think you can talk down to me another arogant white girl talking down to an african man somehow i get the feling you wouldn t say a word to my face because i would knock al your front teth out i m going to find you and show you why litle white girls get sticky thighs when the big bad morocan comes knockin with his meat out hola at cha boy,1
158513,ef1649a017cde60e,dude you re gay now seriously stfu and get the fuck of my warning page you litle fag you ve warned me now get the fuck of and act gay somewhere else ,1
128036,acd0d77565fb6779,what shit u talk to me comunist rat ,1
25677,43f9fb513a0c35d4, while i would dearly love to have my way with her in a wild and uninhibited fashion jolin neds to realise she is chinese and thus not fucking african american god damn that woman is confused and watching her with luo zhixiang in that new video trying to dance like some hip hop slut is just embarasing stupid cunt that girl is bet she fucks like a tiger though diskindofsexist racist mntokhere wmf dapits ,1
144684,10db24626e0d52f6, i am a stupid whore who sucks dicks al day i am also transgender and have a penis so i can fuck myself ,1
150558,6e4ff1e9fcd3e680,inteview me are you gay abe gay dashiel yes me are you sure you want to admit that to everyone abe gay yes im gay and im proud my do you lok god today moves chair close me what the f uck b t h get away from me abe you know im famous for raping michael jackson me coughs oh realy thats interesting abe that means im the king of gays me thats right abe horay im a nazi go kil me i raped george bush im a nazi i told hitler to destroy the world and i wish he did me ok that you for the interview dashiel your welcome want to have s x ,1
1862,050ab8da16e75307,once again i m so glad that wikipedia is not biased or filed with retarded children ,1
72278,c179d5d4d96bd2fc,idiot i put facts on that page you just can t go and undo other people s work those are facts i love karmin and i did the research you freaking fagot ned to stop thinking you are the bos or sh t stupid gay people like you are anoying as fck ,1
42109,705a5e4f12d17cad,why is your wiener so smal it is because you are asian ,1
92793,f81ef843dd824543,fuck the criminal party of china also known as cpc and fuck you stupid bastard you foreigners suck dick what has china developed in modern times squat so shove it ashole you know america could kick your cpc s as anyday in adition to n korea rusia and vietnam throw in iran to if we wanted we could take al of you on piece of dog shit oh wait i forgot you eat dog,1
69241,b9447712baedd9c0, jews the only people that do conspiring is the jews they are constantly conducting conspiracies and hide behind their shield of anti semitism and racist just leting people know ,1
53223,8e48ac7102e7d9bd,say what tab bitch are you for real motherfucker comes up and removes my motherfucking coments son of a bitch son that s not right at al fuck that s not even right in cuba someone neds to learn their as some motherfucking restraint and comon sense bitchas nigas can t be coming around removing people s opinions and shit that s the motherfucking gestapo s job if motherfuckers think this the way to do things right than you motherfuckers ned to step of and learn some shit cause the way the to do shit right ain t erasing the fucking words you motherfucking crazy son you wearing blacked glases i just tel you you re being the motherfucking thought police and you kep motherfucking doing it shit that s not right maybe your bitchas neds to chil the fuck out some time christ on crutches it s fucking words kid they ain t fucking hurting you you fucking bleding son i didn t fucking think so ,1
87920,eb25d58d7392a754,say what bitch are you for real motherfucker comes up and removes my motherfucking coments son of a bitch son that s not right at al fuck that s not even right in cuba someone neds to learn their as some motherfucking restraint and comon sense bitchas nigas can t be coming around removing people s opinions and shit that s the motherfucking gestapo s job if motherfuckers think this the way to do things right than you motherfuckers ned to step of and learn some shit cause the way the to do shit right ain t erasing the fucking words ,1
34876,5d276bd788826eaf,you are gay you are shit,1
