,id,comment_text,insult
40230,6b5d39cb80f41c28, hy is the main picture of his as you fucking cock loving geky homosexuals,1
73703,c53d8d5abaada677, ou stupid you are so damn folish nd the roadway ine page when the north tracks of the anhatan ridge reopen on ebruary the trains was expres and the was local but you switch it the oposite way ead the istory site on the roadway ine page and find out,1
142348,f9634e62820eed00, ,1
17881,2f3546f93785e8a2, uck of you nazi loving cunt,1
88033,eb7f5c5b5e286955, am are you dense or just iliterate t cant be the later so gues you are just dense low me to spel it out for you ou wil not post on my talk page again until ou learn the nglish language corectly ou stop confusing me with this omer felow ou learn that merican is not spelt ou grow some maturity ou learn some maners hen you can acomplish this things and show that you are not a rude dense hatefiled woman thenand only thenwil your posts be read and taken with anything more than a grain of salt gain od ay to you am ,1
57549,99f0c16b3ce77fab, ou started the insult with your bulshit quirk in transformer article o home and slep ,1
129398,b41df12e6abba90a,hi oure a fucking moron,1
802,02230885017a50c5, uck you mith lease have me notified when you die want to dance on your grave,1
104467,2ee5958070ea6f78, ow hear this omchai un cracker ome of us here on ikipedia are not caught up in the racist swindle of using the word slamism here is nothing wrong with wanting to delete this page that is not censorship but respect for encyclopedic knowledge whereas you worshiper of authority want to kis the as of al the white scum anti uslim prowar intelectual nobodies who want to turn wikipedia into the ational nquirer or some kind of ritish tabloid e wont stand for it so dont bother coming back you simple anti emitic pseudojournalistic charlatan uly ,1
154108,a892d9dd29284c9c, ou must have a pathetic life f al you do is try to shut people up online mean you do know you are a fucking loser right m sory stupid question you are a democrap so of course you know you are a loser l you fuckers can do is whine for government handouts claim to be for fredom of spech while acting like complete hypocrites ,1
24220,3ff58198969b3c64, o she did not die that is so stupid,1
81907,db1661f45d33dc6f, uick lease revert to uicknethe bands website for aditional infoalso their acebok page y the wayare you a fucking jerk of or whatpunk,1
127448,a99a4efb2e18af56, an any of you dumbases read the entirely first article the fuck does it say that can be the truth sory for the language,1
30062,4fd0f212238f48e0, oure just a trigerhapy idiot dont think someone with your history as is evident merely by reading your talk page should be so casual in clasifying other peoples edits as vandalism realize that ikipedia has by now largely turned into bulyingsumercamp for you frustratedwiththerealworld type admins but stil ome comon sense more impulse control and les hysteria and your toys wil last much longer,1
43795,74e3c2a15e594d07, t does not apear to be comon usage re you out of your godam tre he term gets entries merely in the ndex of reuds ntroductory ectures in sychoanalysis ou are completely clueles ow buger of with that other idiot and leave this page alone retin ,1
50748,87ab8588754abaeb, s aling you the idiots heads hat the k is wrong with you,1
83696,dffaf2124231b7a4, wasnt fucking joking ashole so dont se why you had to make it a joke,1
27181,47e5fe2ba8feca93, ou are crazy man ou kep deleting my posts no admin is like that ou are no admin ow,1
136061,d7c32e7e06ea145b, hat is vandalism though f ad facts improve on pages often some moron reverts it that vandalism just because they didnt like what wrote tupid ou have to agre esealthal loks like a rodent,1
41428,6e7ee4896cf2b2eb, h and there are no talk page giudelines ya idiot loser,1
101408,1ec645e199a530fa, ay also ad that youre a cock and you should find something beter to do with your time,1
93038,f8bd327682f79c79, you fucking fagot,1
4174,0b2055f13934a41e,i i i i i i i i i i i i i i i i i i i i i i i i i i i i ,1
139949,ed01298c60fd1a5c, oks like the ikipedia admins are retarded also ifione you are a retard simple as that,1
