,id,comment_text,obscene
117057,719058ee82906d4f, could you fucking leave me alone bitch ,1
99897,16a36ae652a2b7cf, o fuk your mom you fukin fagot l comit vandalizim on your page al fukin day long and youl like it you fuking quer h and trace my tl come back to a wireles network shared by a lot of peple od luck wid dat you quer fuking homo ou got damn dog rapist,1
93180,f92752213daf54a0, ou are a racist pig loser ont vandalize again an ,1
90449,f20aeee680bbd31f, what the fuk is this sht who has the balz to fuk with my wikipedia step up u fukng absoloute hoplesl ltle white btch step up mother fka,1
58091,9b923ed45c913cf7, ey ersey evil hy do u think you are so god you can go around deleting wikipedia articles he republic of ants is a non known religiong but it is stil a religion ashole just because your probably christian friends have not heard of it that doesnt make you god and have al final say in what gets deleted so maybe u should leave your basement and go find some friends so you can do more than sit there on your fat as and delete articles btw it is not funy in your page when u say lol,1
156588,d0b61e012e1324c2,supertal fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag fag,1
79429,d48a5ca967762203,you stupied crack head u ned to get a life and get of the computer you are probly some lbs y o child molester,1
55103,933a513daf240140, lah blah fuckin blah with boks a magazine article several news articles and the presence of a number of celebrities its notable if you want a higher notability for it do the research and ad it yourself ou were just bored feling like improving some article by slaping a tag on it instead of actualy improving it and nobody would let you touch the esus article f with ye,1
20663,368d44917af24766, oure an as hat was not a clip of the real game utras,1
60786,a2b59513820e5d50, he is fucked up talk,1
29987,4f9f0d0fcd685e80, ,1
80197,d69783d9ad6046c1, ey dickhead umerphd hy are you such a disruptive vindictive ashole hy did you for exmaple revert the last edit on the gun used in suicide of urt obaine ts a factoid relevant to the encyclopedia article on the gun uck of,1
77883,d08cfda382cfc8da, resumptive arsehole red arent you he image did come from ing maps he same as your you spouted about a few months back ,1
101375,1ea25596e83d2042, ay r fucking gaey a,1
143314,fe60ea3f6418e7bf,fucking fagot hopefuly somone rapes or eats you son you fucking idiot,1
