,id,comment_text,severe_toxic
127062,a7852cb0f00b0b8d,danielrigal bitch you are a fucking gek as pusy u ait shit u aint ever gona be shit get a fuckin life u bitch as homo go ahead delete me bitch and ur work sucks ,1
144232,0a2c5c63e0da322d, dear gwernol u useles cunt molesting nigertard go fuck dvd rw s inch albino cock dear gwernol u useles cunt molesting nigertard go fuck dvd rw s inch albino cock dear gwernol u useles cunt molesting nigertard go fuck dvd rw s inch albino cockdear gwernol u useles cunt molesting nigertard go fuck dvd rw s inch albino cockdear gwernol u useles cunt molesting nigertard go fuck dvd rw s inch albino cock ,1
99206,12a9916dd06fa87c,you gayrek don t open your mouth because it stinks of sperm you don t have any right to talk so stfu,1
746,020316a0de9e0406, you know i was thinking nobody realy atacked me before i revealed my age here after i anounced that i was i was subject to a constant storm of harasment and abuse the same thing goes for when i was on the sandbox when i was before people knew my age they didn t care after i told them my age they hated me it s just so amusing how the idiot soapboxers think of tenagers as being responsible for the decline of the soapbox like it was ever any god to begin with this is funy because the adults are the dumbest people here mauricio chupah redneckgirl pinky scoby g foreverlostinkerbel grenrabit starocketsinflight bre robinson enigma cocainenightmares tokyodome chad ocho cinco steve lake al adults the tenage posters here are typicaly the smartest ones let s se g dawg head banging brunete clasicage metropolis even though he s a bipolar weirdo chriscript just to name a few al i ever se adults posting is rate my po my balz smel funy whoz hawter me or ur mom i like to rape litle girls and hey guyz lok at me im an atention whore the adult posters here are imature moronic savage bulies with the mental capacity of a retarded year old whereas most of the tenagers here are thoughtful inteligent mature and often profound but they re subject to constant scholyard bulying by the idiot adult posters who think they re somehow superior because they were born and droped on their head earlier soapbox logic never fails to amuse me ,1
100400,197f023cfeae999e,don t block me for wek again you motherfucking ashole ,1
91695,f52594be865e22d7,shit face fuck leave me df alone,1
52121,8b7271e7230fe881,fuck you you suck leave me alone fuck tildes to ,1
102165,22c77b2df8015e96,fuck you your fuckin stupid and i m black and fuck you fuck uou sdjasf ldjgs dgsdg lknfdts,1
15167,2807cd0d9d41027f,i don t give a shit this ain t my fuckin acount wit yo dumbas what kind of fuckin nerd spends time on here just to make fix articles are you some fuckin teacher or somethin damn on my fridays i m out wit friends and shit you just like my fuckin brother after i get him baned from here he comin wit me and yo nerdy virgin as can sit on the damn computer,1
116757,7027f6bb69b90104,you enjoy taking dick in the as d,1
123353,93ca6670b88ac7d0,suck your filthy erect penis,1
158273,eb51cc5d921bca7f,shut up and leave me alone fagot shut up go ahead ban me i don t care just shut up and leave my alone ,1
76556,ccf6c1c337b9168f,suck my ashole you have les of a life than me fuck a horse you shitbag ,1
126496,a496e8ede78a7f88,clown bastard why did you block me you fuckin philistine i sugest you stop oscilating betwen being a clown and an intelectual and just stick to your puerile image of being a nobody who blows up girafes whilst you try to pervert litle kidos,1
77159,cea464f18b21d3a8,mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck mexicans suck m,1
139484,ea96312f5131a265,editors are gay they should al go fuck themselves,1
104181,2d7ac39e8feab48f,you bitch you shut me down i hate you so much extremely mad face angry face go and shove a fotbal helmet up your as you meanie ,1
144684,10db24626e0d52f6, i am a stupid whore who sucks dicks al day i am also transgender and have a penis so i can fuck myself ,1
12534,2134e802dccc7101,troling facebok has ben reported and is regulary troled by josh ware of nevada this is because josh ware is a waste of life and a fagot who fucks his dad and can t figure anything else to do in his own existence then to perform these two hobies continuously watch out for that guy he s digustingly and sickeningly gay ,1
135958,d73a0a8d1e0c47e3,eat shit you white supremacist fagot,1
140688,f0dd261de10d6da4,go find a girlfriend i l give u vandalism mother fucker go find a girlfriend and do not change things depresed ,1
