,id,comment_text,toxic
44610,7733c560068e7816,oh get real wil ya or is that a totaly alien concept for you these are not angry you do not want to se me angry again these are al statements of fact which fals solidly within my amendment rights aditionaly i do have my own websites several of them and there are others about me built by fans i ve never even physicaly met once more the mark of someone wet behind their ears and not wiling to do the research i gues everything that is required of a god editor administrator here i ve had this same problem with the wiki bastards in australia spouting revisionist history and trying to tel me that i never did the things that i actualy did and pronouncing harsh judgment condemnation on the things i didn t what the hel is the mater with you types rhetorical actualy because i already know you hide behind avatars and sit on your high and mighty thrones to try and dictate to other people about their own lives politicaly you re very likely liberal and ethicaly moraly quite obviously bankrupt in short individuals of your persuasion canot make it in the outside world so you bury busy yourselves in safe for you places like this where you can exert an imagined power over others and their lives through keystroke teroism that s what it amounts to i m not the danger threat with these mesages because i m out here and public but you are because you can hide behind al of this so you believe you are protected and can strike out at people with impunity but you realy canot i fel sad for you yeah right wel i m going to be the biger man here even though i believe it said you were some kinda editor chick i l leave you to do what you want in your own lil limited sandbox and i l just go about my usual busines in the outside world the real world where what is acomplished realy maters is truly apreciated and people actualy give a god god damn about acuracy and the true eficacy of al their hard fought for eforts i wish you wel i d wish your husband wel also although i doubt that you have one for the above obvious reasons cited and if ya ever did ya swet lil monkey you he likely bolted long ago either that or ya probably edited his as out of existence to por guy oh wel ciao baby ,1
8365,1638067cd3655acd, march utc se you jackases are so flipant when you speak of biblical things yet you wonder why people like me get angry you have just proved one thing you don t care wikipedia doesn t care and this liberal rag wil do whatever it wants so screw us litle pe ons who aren t as high and mighty as you wiki gods you make me sick you realy make me sick you are the perfect atheist liberal so be proud i knew even speaking to you would be a waste of time that is why i nor any of the places i work wil ever alow students to use wikipedia we give an instant f to anyone that puts it in their endnotes ,1
34452,5bfe58a6c1f43fee,cabaye as a dedicated cpfc fan i know every single fact about them so it frustrates me that you remove it so don t tel me about this reliable source bulshit so i wil change the cabaye info back for know,1
6250,10afa4c35530afbf,i m not him either what are you crazy ,1
35685,5f59fd272204f12f,arogance how pretentious of you to make a page for yourself ,1
130726,bb5a10f7644658cf,you are a prat and my revenge wil be swet hahahahahahahahahahahahahahahahahahahaha ,1
27448,48a52cf370bc47c9,portia gibons who was the idiot that invented the false show caled portia gibons please that show isn t real it s vey fake doesn t exist portia gibons is the name of a character from the series the mighty b and that show was ended in it s not curently producing new episodes was canceled in please no more vandalism it s the very true i m not doing vandalism i m editing as wel ,1
114209,630560434c37b58b,warned my arse there was no legitimate warning just a complaint because someone couldn t deal with having his disruptive behaviour criticised ,1
22830,3c52b96afab46a96,oh please you are dying to adjudicate this case are you realy the kind of guy who would let some bureaucratic regulation about template use get in the way if you do shi a favor you could even get a share of the lot it must be some japanese of korean nationalist paying it out if they have money to ofer a lowly user like me there has got to be something in the budget for a monster admin like you go ahead and prove me wrong block he is definitely wp nothere he is a trol who goes around starting one argument after another mostly about meaningles bs ,1
28013,4a1e8ca7b9c4da4d, sily guy you should use email like the wikijews preceding unsigned coment aded by ,1
70148,bba2116785b9eca4,i dont care i dont fucking care if you have reported me i wil start a new acount se if i care your stil a fucking ashole ,1
5275,0e08d36291f714d0,yeah loking thorough history and stuf get a life you sad litle man get of your arse a get a life find beter things to do than governing things on wikipedia i bet uou like the smel of your own shit i bet you gargle your own pis i bet you like to wank of to kidy porn you sado you fucking sado fuck of and die,1
56119,95f4937a1b418a77,hidrnick present for you faty relax don t get to excited it s not a rhino meal ,1
61531,a4b1df1a62896788,snowager i wil hack you because you re a fucking shit and please it you blocks me i would hack you changing your pasword ,1
127807,ab9b1e3662178edc,mesage for angie yo ned to get a makeover u r fuckin ugly bitch ,1
64722,ad364bd3ca33f88d,im back im back bitches ,1
139979,ed155f58a8fbea77,my name is not jason you are one paranoid person is much biger than him ,1
31008,525f54ee2bedf89e,yes you ned to because your fucking as doesn t know shit about it at al rocky,1
119991,81a4c391d1c47b80, march utc main page sucks ,1
33891,5a66ffe0f912b06c,hey gues what it s me on a whole new range and i stil have thousands of socks when i fel les lazy i wil get some auto confirmed so i can do more god work with the tag and acusations of paedophilia hahahahahahahahahahahahahahahahahahahahahahahahaha,1
136286,d910726e3de8983d,fuck you cuntard cheks baroni is a local figure up here let his legend live on cheks,1
131226,be28d94e7b5b3031,im guna buter your buns baby,1
